control_id,control_title,control_description,key_control,hierarchy_level,parent_control_id,preventative_detective,manual_automated,execution_frequency,four_eyes_check,evidence_description,evidence_available_from,performance_measures_required,performance_measures_available_from,control_status,valid_from,valid_until,reason_for_deactivation,status_updates,last_modified_on
CTRL-6756332150,High Risk Customer Review Control - Group Functions,This control ensures that high risk customer review - group functions is performed according to established procedures.,False,Level 1,,Preventative,Manual,Quarterly,True,"Evidence includes system screenshots, approval emails, and reconciliation reports for high risk customer review control - group functions.",2021-09-20,True,2021-10-20,Active,2021-09-20,,,Last reviewed on 2024-11-24. Control operating effectively.,2024-11-24 00:00:00
CTRL-1667779376,Vendor Due Diligence Control - Group Functions,This control ensures that vendor due diligence - group functions is performed according to established procedures.,False,Level 1,,1st Line Detective,Manual,Intraday,True,"Evidence includes system screenshots, approval emails, and reconciliation reports for vendor due diligence control - group functions.",2022-10-19,False,,Active,2022-10-19,,,Last reviewed on 2025-04-15. Control operating effectively.,2025-04-15 00:00:00
CTRL-2445662585,Gift and Entertainment Approval Control - Asset Management,This control manages gift and entertainment approval - asset management to ensure appropriate employee behavior.,True,Level 1,,2nd Line Detective,Automated,Annually,True,"Evidence includes system screenshots, approval emails, and reconciliation reports for gift and entertainment approval control - asset management.",2020-04-22,False,2020-05-22,Active,2020-04-22,,,Last reviewed on 2025-05-12. Control operating effectively.,2025-05-12 00:00:00
CTRL-5693307665,Compliance Training Completion Control - Group Functions,This control ensures compliance training completion - group functions requirements are met with proper documentation.,False,Level 1,,1st Line Detective,Manual,Daily,True,"Evidence includes system screenshots, approval emails, and reconciliation reports for compliance training completion control - group functions.",2022-02-10,True,,Inactive,2022-02-10,2024-03-28,Control replaced by automated solution,Deactivated on 2024-03-28.,2025-08-29 00:00:00
CTRL-5710360983,Vendor Due Diligence Control - Investment Bank,This control ensures that vendor due diligence - investment bank is performed according to established procedures.,False,Level 1,,1st Line Detective,Manual,Annually,False,"Evidence includes system screenshots, approval emails, and reconciliation reports for vendor due diligence control - investment bank.",2020-07-30,False,2020-08-29,Active,2020-07-30,,,Last reviewed on 2025-12-22. Control operating effectively.,2025-12-22 00:00:00
CTRL-8934927891,Regulatory Change Impact Assessment Control - Investment Bank,This control ensures regulatory change impact assessment - investment bank requirements are met with proper documentation.,True,Level 1,,1st Line Detective,Manual,Event Triggered,True,"Evidence includes system screenshots, approval emails, and reconciliation reports for regulatory change impact assessment control - investment bank.",2022-03-07,False,,Active,2022-03-07,,,Last reviewed on 2024-04-16. Control operating effectively.,2024-04-16 00:00:00
CTRL-7887950851,Regulatory Examination Response Control - Investment Bank,This control ensures regulatory examination response - investment bank requirements are met with proper documentation.,True,Level 1,,Detective,Automated,Weekly,True,"Evidence includes system screenshots, approval emails, and reconciliation reports for regulatory examination response control - investment bank.",2022-07-30,True,2022-08-29,Active,2022-07-30,,,Last reviewed on 2024-10-23. Control operating effectively.,2024-10-23 00:00:00
CTRL-4466589567,Front Running Detection Control - Group Functions,This control manages front running detection - group functions to ensure appropriate employee behavior.,False,Level 1,,1st Line Detective,Manual,Annually,False,"Evidence includes system screenshots, approval emails, and reconciliation reports for front running detection control - group functions.",2022-05-12,True,,Active,2022-05-12,,,Last reviewed on 2024-11-23. Control operating effectively.,2024-11-23 00:00:00
CTRL-8429141456,Product Appropriateness Review Control - Group Functions,This control ensures that product appropriateness review - group functions is performed according to established procedures.,False,Level 1,,1st Line Detective,IT Dependent Manual,Quarterly,True,"Evidence includes system screenshots, approval emails, and reconciliation reports for product appropriateness review control - group functions.",2023-12-14,True,2024-01-13,Active,2023-12-14,,,Last reviewed on 2023-12-06. Control operating effectively.,2023-12-06 00:00:00
CTRL-3303082117,Enhanced Due Diligence Control - Investment Bank,This control monitors enhanced due diligence - investment bank activities to detect and prevent financial crime.,False,Level 1,,1st Line Detective,Manual,Event Triggered,True,"Evidence includes system screenshots, approval emails, and reconciliation reports for enhanced due diligence control - investment bank.",2022-01-15,False,,Active,2022-01-15,,,Last reviewed on 2023-02-24. Control operating effectively.,2023-02-24 00:00:00
CTRL-2625792787,Policy Attestation Control - Group Functions,This control ensures policy attestation - group functions requirements are met with proper documentation.,False,Level 1,,Detective,IT Dependent Manual,Weekly,True,"Evidence includes system screenshots, approval emails, and reconciliation reports for policy attestation control - group functions.",2022-02-12,True,,Active,2022-02-12,,,Last reviewed on 2023-02-03. Control operating effectively.,2023-02-03 00:00:00
CTRL-7665963761,Business Continuity Plan Testing Control - Group Functions,This control ensures business continuity plan testing - group functions capabilities are maintained and tested.,True,Level 1,,1st Line Detective,Automated,Weekly,False,"Evidence includes system screenshots, approval emails, and reconciliation reports for business continuity plan testing control - group functions.",2022-05-22,True,,Active,2022-05-22,,,Last reviewed on 2025-05-31. Control operating effectively.,2025-05-31 00:00:00
CTRL-8995970241,Change Management Approval Control - Global Wealth Management,This control ensures that change management approval - global wealth management processes are executed according to established procedures.,False,Level 1,,1st Line Detective,IT Dependent Manual,Intraday,False,"Evidence includes system screenshots, approval emails, and reconciliation reports for change management approval control - global wealth management.",2022-11-05,True,2022-12-05,Active,2022-11-05,,,Last reviewed on 2025-03-03. Control operating effectively.,2025-03-03 00:00:00
CTRL-3479708607,Data Quality Validation Control - Group Functions,This control ensures data integrity through data quality validation - group functions.,True,Level 1,,Detective,Manual,Event Triggered,True,"Evidence includes system screenshots, approval emails, and reconciliation reports for data quality validation control - group functions.",2022-07-25,True,2022-08-24,Active,2022-07-25,,,Last reviewed on 2025-11-25. Control operating effectively.,2025-11-25 00:00:00
CTRL-4026113008,Production Release Validation Control - Group Functions,This control ensures that production release validation - group functions is performed according to established procedures.,True,Level 1,,2nd Line Detective,Automated,Intraday,False,"Evidence includes system screenshots, approval emails, and reconciliation reports for production release validation control - group functions.",2021-09-06,False,,Active,2021-09-06,,,Last reviewed on 2024-09-10. Control operating effectively.,2024-09-10 00:00:00
CTRL-9786748825,Production Release Validation Control - Group Functions,This control ensures that production release validation - group functions is performed according to established procedures.,False,Level 2,CTRL-7825844140,2nd Line Detective,Automated,Daily,True,"Evidence includes system screenshots, approval emails, and reconciliation reports for production release validation control - group functions.",2021-12-25,False,2022-01-24,Active,2021-12-25,,,Last reviewed on 2023-04-14. Control operating effectively.,2023-04-14 00:00:00
CTRL-5728765136,Blocked Transaction Review Control - Investment Bank,This control ensures that blocked transaction review - investment bank is performed according to established procedures.,False,Level 2,CTRL-7635473142,Preventative,Automated,Annually,True,"Evidence includes system screenshots, approval emails, and reconciliation reports for blocked transaction review control - investment bank.",2022-11-27,True,2022-12-27,Active,2022-11-27,,,Last reviewed on 2025-09-30. Control operating effectively.,2025-09-30 00:00:00
CTRL-6488854841,Sanctions Alert Investigation Control - Global Wealth Management,This control ensures that sanctions alert investigation - global wealth management is performed according to established procedures.,False,Level 2,CTRL-2812140441,1st Line Detective,Automated,Weekly,True,"Evidence includes system screenshots, approval emails, and reconciliation reports for sanctions alert investigation control - global wealth management.",2023-12-07,True,2024-01-06,Active,2023-12-07,,,Last reviewed on 2025-09-28. Control operating effectively.,2025-09-28 00:00:00
CTRL-2566942273,Compliance Training Completion Control - Investment Bank,This control ensures compliance training completion - investment bank requirements are met with proper documentation.,False,Level 2,CTRL-4026113008,Detective,IT Dependent Manual,Daily,True,"Evidence includes system screenshots, approval emails, and reconciliation reports for compliance training completion control - investment bank.",2021-10-29,False,2021-11-28,Active,2021-10-29,,,Last reviewed on 2023-05-02. Control operating effectively.,2023-05-02 00:00:00
CTRL-6884882440,Compliance Training Completion Control - Investment Bank,This control ensures compliance training completion - investment bank requirements are met with proper documentation.,False,Level 2,CTRL-7887950851,1st Line Detective,Automated,Semi-Annually,True,"Evidence includes system screenshots, approval emails, and reconciliation reports for compliance training completion control - investment bank.",2021-05-24,True,,Active,2021-05-24,,,Last reviewed on 2024-06-18. Control operating effectively.,2024-06-18 00:00:00
CTRL-3783290795,Conflicts of Interest Review Control - Investment Bank,This control ensures that conflicts of interest review - investment bank is performed according to established procedures.,False,Level 2,CTRL-4163119785,Preventative,Automated,Monthly,True,"Evidence includes system screenshots, approval emails, and reconciliation reports for conflicts of interest review control - investment bank.",2023-04-25,False,,Active,2023-04-25,,,Last reviewed on 2023-07-06. Control operating effectively.,2023-07-06 00:00:00
CTRL-4131575764,Investment Recommendation Documentation Control - Group Functions,This control ensures that investment recommendation documentation - group functions is performed according to established procedures.,True,Level 2,CTRL-8429141456,Preventative,Manual,Event Triggered,True,"Evidence includes system screenshots, approval emails, and reconciliation reports for investment recommendation documentation control - group functions.",2020-11-22,True,2020-12-22,Active,2020-11-22,,,Last reviewed on 2024-01-22. Control operating effectively.,2024-01-22 00:00:00
CTRL-5996775663,Policy Attestation Control - Group Functions,This control ensures policy attestation - group functions requirements are met with proper documentation.,False,Level 2,CTRL-8934927891,Detective,Automated,Daily,True,"Evidence includes system screenshots, approval emails, and reconciliation reports for policy attestation control - group functions.",2021-02-05,True,2021-03-07,Active,2021-02-05,,,Last reviewed on 2025-08-27. Control operating effectively.,2025-08-27 00:00:00
CTRL-6924716023,Security Patch Management Control - Global Wealth Management,This control ensures that security patch management - global wealth management is performed according to established procedures.,False,Level 2,CTRL-5710360983,1st Line Detective,Automated,Intraday,True,"Evidence includes system screenshots, approval emails, and reconciliation reports for security patch management control - global wealth management.",2021-08-15,True,2021-09-14,Active,2021-08-15,,,Last reviewed on 2025-08-12. Control operating effectively.,2025-08-12 00:00:00
CTRL-3392080953,Regulatory Change Impact Assessment Control - Investment Bank,This control ensures regulatory change impact assessment - investment bank requirements are met with proper documentation.,False,Level 2,CTRL-7665963761,2nd Line Detective,Automated,Daily,True,"Evidence includes system screenshots, approval emails, and reconciliation reports for regulatory change impact assessment control - investment bank.",2023-07-23,True,2023-08-22,Active,2023-07-23,,,Last reviewed on 2023-05-20. Control operating effectively.,2023-05-20 00:00:00
CTRL-8235363119,System Availability Monitoring Control - Group Functions,This control ensures that system availability monitoring - group functions processes are executed according to established procedures.,False,Level 2,CTRL-2445662585,Preventative,IT Dependent Manual,Daily,False,"Evidence includes system screenshots, approval emails, and reconciliation reports for system availability monitoring control - group functions.",2022-11-17,True,2022-12-17,Active,2022-11-17,,,Last reviewed on 2025-06-07. Control operating effectively.,2025-06-07 00:00:00
CTRL-4332894265,Compliance Training Completion Control - Investment Bank,This control ensures compliance training completion - investment bank requirements are met with proper documentation.,False,Level 2,CTRL-7635473142,2nd Line Detective,Manual,Semi-Annually,True,"Evidence includes system screenshots, approval emails, and reconciliation reports for compliance training completion control - investment bank.",2023-02-19,True,,Active,2023-02-19,,,Last reviewed on 2025-06-03. Control operating effectively.,2025-06-03 00:00:00
CTRL-6649827836,AML Alert Investigation Control - Investment Bank,This control ensures that aml alert investigation - investment bank is performed according to established procedures.,False,Level 2,CTRL-9963334018,Preventative,Automated,Semi-Annually,True,"Evidence includes system screenshots, approval emails, and reconciliation reports for aml alert investigation control - investment bank.",2020-05-15,True,,Active,2020-05-15,,,Last reviewed on 2025-06-09. Control operating effectively.,2025-06-09 00:00:00
CTRL-2149938334,Privileged Access Management Control - Group Functions,This control ensures that privileged access management - group functions is performed according to established procedures.,False,Level 2,CTRL-5693307665,2nd Line Detective,IT Dependent Manual,Intraday,False,"Evidence includes system screenshots, approval emails, and reconciliation reports for privileged access management control - group functions.",2022-07-12,False,,Active,2022-07-12,,,Last reviewed on 2024-08-19. Control operating effectively.,2024-08-19 00:00:00
CTRL-2351531223,Production Release Validation Control - Asset Management,This control ensures that production release validation - asset management is performed according to established procedures.,False,Level 2,CTRL-8293453178,Preventative,Manual,Monthly,False,"Evidence includes system screenshots, approval emails, and reconciliation reports for production release validation control - asset management.",2020-11-16,False,2020-12-16,Active,2020-11-16,,,Last reviewed on 2023-02-20. Control operating effectively.,2023-02-20 00:00:00
CTRL-8110054933,Change Management Approval Control - Group Functions,This control ensures that change management approval - group functions is performed according to established procedures.,True,Level 2,CTRL-5693307665,Detective,Automated,Annually,False,"Evidence includes system screenshots, approval emails, and reconciliation reports for change management approval control - group functions.",2021-03-06,False,2021-04-05,Active,2021-03-06,,,Last reviewed on 2023-05-09. Control operating effectively.,2023-05-09 00:00:00
CTRL-2970753705,Change Management Approval Control - Group Functions,This control ensures that change management approval - group functions processes are executed according to established procedures.,False,Level 2,CTRL-7665963761,2nd Line Detective,Automated,Intraday,True,"Evidence includes system screenshots, approval emails, and reconciliation reports for change management approval control - group functions.",2021-03-02,True,,Active,2021-03-02,,,Last reviewed on 2025-02-25. Control operating effectively.,2025-02-25 00:00:00
CTRL-2137651678,Vendor Exit Planning Control - Group Functions,This control ensures that vendor exit planning - group functions is performed according to established procedures.,False,Level 2,CTRL-5710360983,1st Line Detective,Automated,Semi-Annually,True,"Evidence includes system screenshots, approval emails, and reconciliation reports for vendor exit planning control - group functions.",2022-01-06,True,2022-02-05,Active,2022-01-06,,,Last reviewed on 2024-07-29. Control operating effectively.,2024-07-29 00:00:00
CTRL-7805745017,Privileged Access Management Control - Asset Management,This control ensures that privileged access management - asset management is performed according to established procedures.,True,Level 2,CTRL-1939042955,Preventative,Manual,Weekly,True,"Evidence includes system screenshots, approval emails, and reconciliation reports for privileged access management control - asset management.",2023-04-02,True,,Active,2023-04-02,,,Last reviewed on 2025-09-20. Control operating effectively.,2025-09-20 00:00:00
CTRL-7010379415,Master Data Management Control - Group Functions,This control ensures data integrity through master data management - group functions.,False,Level 2,CTRL-8995970241,1st Line Detective,Manual,Event Triggered,True,"Evidence includes system screenshots, approval emails, and reconciliation reports for master data management control - group functions.",2020-07-25,True,,Active,2020-07-25,,,Last reviewed on 2023-07-29. Control operating effectively.,2023-07-29 00:00:00
CTRL-5284391408,Change Management Approval Control - Group Functions,This control ensures that change management approval - group functions processes are executed according to established procedures.,True,Level 2,CTRL-6756332150,2nd Line Detective,Manual,Daily,True,"Evidence includes system screenshots, approval emails, and reconciliation reports for change management approval control - group functions.",2022-03-31,False,,Active,2022-03-31,,,Last reviewed on 2025-05-11. Control operating effectively.,2025-05-11 00:00:00
CTRL-7483366056,Crisis Management Activation Control - Group Functions,This control ensures crisis management activation - group functions capabilities are maintained and tested.,False,Level 2,CTRL-9963334018,Preventative,Automated,Event Triggered,False,"Evidence includes system screenshots, approval emails, and reconciliation reports for crisis management activation control - group functions.",2020-10-10,False,2020-11-09,Active,2020-10-10,,,Last reviewed on 2024-07-04. Control operating effectively.,2024-07-04 00:00:00
CTRL-1470939445,Incident Management Escalation Control - Asset Management,This control ensures that incident management escalation - asset management is performed according to established procedures.,True,Level 2,CTRL-4026113008,Preventative,Automated,Weekly,True,"Evidence includes system screenshots, approval emails, and reconciliation reports for incident management escalation control - asset management.",2020-09-18,True,2020-10-18,Active,2020-09-18,,,Last reviewed on 2023-04-18. Control operating effectively.,2023-04-18 00:00:00
CTRL-3694860228,Security Patch Management Control - Global Wealth Management,This control validates that security patch management - global wealth management requirements are met and monitored.,False,Level 2,CTRL-1667779376,1st Line Detective,Automated,Weekly,True,"Evidence includes system screenshots, approval emails, and reconciliation reports for security patch management control - global wealth management.",2020-07-11,True,2020-08-10,Active,2020-07-11,,,Last reviewed on 2024-04-19. Control operating effectively.,2024-04-19 00:00:00
CTRL-5567816720,Conflicts of Interest Review Control - Global Wealth Management,This control manages conflicts of interest review - global wealth management to ensure appropriate employee behavior.,False,Level 2,CTRL-2625792787,Preventative,IT Dependent Manual,Semi-Annually,False,"Evidence includes system screenshots, approval emails, and reconciliation reports for conflicts of interest review control - global wealth management.",2020-07-28,True,,Active,2020-07-28,,,Last reviewed on 2024-05-23. Control operating effectively.,2024-05-23 00:00:00
CTRL-9573276057,Incident Management Escalation Control - Group Functions,This control ensures that incident management escalation - group functions is performed according to established procedures.,True,Level 2,CTRL-7887950851,2nd Line Detective,Automated,Intraday,False,"Evidence includes system screenshots, approval emails, and reconciliation reports for incident management escalation control - group functions.",2021-08-11,False,,Inactive,2021-08-11,2025-09-26,Business process discontinued,Deactivated on 2025-09-26.,2023-11-01 00:00:00
CTRL-7567496105,PEP Screening Control - Investment Bank,This control monitors pep screening - investment bank activities to detect and prevent financial crime.,False,Level 2,CTRL-6756332150,Detective,Manual,Annually,True,"Evidence includes system screenshots, approval emails, and reconciliation reports for pep screening control - investment bank.",2021-03-25,True,2021-04-24,Active,2021-03-25,,,Last reviewed on 2025-12-14. Control operating effectively.,2025-12-14 00:00:00
CTRL-9639245200,Change Management Approval Control - Asset Management,This control ensures that change management approval - asset management is performed according to established procedures.,True,Level 2,CTRL-5710360983,Detective,IT Dependent Manual,Weekly,True,"Evidence includes system screenshots, approval emails, and reconciliation reports for change management approval control - asset management.",2021-12-03,True,2022-01-02,Active,2021-12-03,,,Last reviewed on 2023-06-09. Control operating effectively.,2023-06-09 00:00:00
CTRL-4095476665,Data Classification Review Control - Investment Bank,This control ensures data integrity through data classification review - investment bank.,False,Level 2,CTRL-7635473142,Detective,IT Dependent Manual,Event Triggered,False,"Evidence includes system screenshots, approval emails, and reconciliation reports for data classification review control - investment bank.",2020-07-20,False,,Active,2020-07-20,,,Last reviewed on 2025-09-15. Control operating effectively.,2025-09-15 00:00:00
CTRL-8047877267,Employee Conduct Monitoring Control - Group Functions,This control ensures that employee conduct monitoring - group functions is performed according to established procedures.,True,Level 2,CTRL-3479708607,Preventative,Manual,Weekly,False,"Evidence includes system screenshots, approval emails, and reconciliation reports for employee conduct monitoring control - group functions.",2021-07-08,False,2021-08-07,Active,2021-07-08,,,Last reviewed on 2025-08-10. Control operating effectively.,2025-08-10 00:00:00
CTRL-5774080233,Regulatory Change Impact Assessment Control - Group Functions,This control ensures regulatory change impact assessment - group functions requirements are met with proper documentation.,False,Level 2,CTRL-3746317213,Preventative,Automated,Annually,True,"Evidence includes system screenshots, approval emails, and reconciliation reports for regulatory change impact assessment control - group functions.",2020-11-18,False,2020-12-18,Active,2020-11-18,,,Last reviewed on 2023-07-25. Control operating effectively.,2023-07-25 00:00:00
CTRL-2867302554,Disaster Recovery Testing Control - Group Functions,This control ensures disaster recovery testing - group functions capabilities are maintained and tested.,True,Level 2,CTRL-8429141456,Preventative,Manual,Quarterly,True,"Evidence includes system screenshots, approval emails, and reconciliation reports for disaster recovery testing control - group functions.",2020-05-24,False,,Active,2020-05-24,,,Last reviewed on 2025-11-03. Control operating effectively.,2025-11-03 00:00:00
CTRL-2948728483,Change Management Approval Control - Group Functions,This control ensures that change management approval - group functions processes are executed according to established procedures.,True,Level 2,CTRL-4460967357,1st Line Detective,IT Dependent Manual,Semi-Annually,True,"Evidence includes system screenshots, approval emails, and reconciliation reports for change management approval control - group functions.",2023-06-11,False,,Active,2023-06-11,,,Last reviewed on 2023-01-18. Control operating effectively.,2023-01-18 00:00:00
CTRL-4919706735,Production Release Validation Control - Investment Bank,This control ensures that production release validation - investment bank is performed according to established procedures.,True,Level 2,CTRL-8429141456,1st Line Detective,Manual,Monthly,False,"Evidence includes system screenshots, approval emails, and reconciliation reports for production release validation control - investment bank.",2023-08-26,False,2023-09-25,Active,2023-08-26,,,Last reviewed on 2025-09-01. Control operating effectively.,2025-09-01 00:00:00
CTRL-3615507143,AML Alert Investigation Control - Investment Bank,This control ensures that aml alert investigation - investment bank is performed according to established procedures.,True,Level 2,CTRL-8934927891,Preventative,Manual,Event Triggered,True,"Evidence includes system screenshots, approval emails, and reconciliation reports for aml alert investigation control - investment bank.",2023-04-20,False,2023-05-20,Active,2023-04-20,,,Last reviewed on 2023-11-21. Control operating effectively.,2023-11-21 00:00:00
CTRL-5951406973,Suspicious Activity Reporting Control - Group Functions,This control monitors suspicious activity reporting - group functions activities to detect and prevent financial crime.,False,Level 2,CTRL-4026113008,1st Line Detective,IT Dependent Manual,Daily,False,"Evidence includes system screenshots, approval emails, and reconciliation reports for suspicious activity reporting control - group functions.",2021-04-01,True,2021-05-01,Active,2021-04-01,,,Last reviewed on 2023-02-14. Control operating effectively.,2023-02-14 00:00:00
CTRL-4274958945,Regulatory Reporting Accuracy Control - Group Functions,This control ensures regulatory reporting accuracy - group functions requirements are met with proper documentation.,True,Level 2,CTRL-2445662585,2nd Line Detective,Manual,Weekly,True,"Evidence includes system screenshots, approval emails, and reconciliation reports for regulatory reporting accuracy control - group functions.",2020-02-18,False,2020-03-19,Active,2020-02-18,,,Last reviewed on 2023-07-02. Control operating effectively.,2023-07-02 00:00:00
CTRL-9592390865,Production Release Validation Control - Group Functions,This control ensures that production release validation - group functions is performed according to established procedures.,True,Level 2,CTRL-1958682846,Detective,Automated,Intraday,False,"Evidence includes system screenshots, approval emails, and reconciliation reports for production release validation control - group functions.",2022-03-13,False,,Active,2022-03-13,,,Last reviewed on 2025-01-04. Control operating effectively.,2025-01-04 00:00:00
CTRL-6687206971,Outside Business Activity Review Control - Global Wealth Management,This control ensures that outside business activity review - global wealth management is performed according to established procedures.,False,Level 2,CTRL-7825844140,2nd Line Detective,IT Dependent Manual,Daily,False,"Evidence includes system screenshots, approval emails, and reconciliation reports for outside business activity review control - global wealth management.",2020-07-27,False,2020-08-26,Active,2020-07-27,,,Last reviewed on 2025-10-17. Control operating effectively.,2025-10-17 00:00:00
CTRL-1083651970,Privileged Access Management Control - Group Functions,This control ensures that privileged access management - group functions is performed according to established procedures.,True,Level 2,CTRL-4163119785,Detective,IT Dependent Manual,Annually,False,"Evidence includes system screenshots, approval emails, and reconciliation reports for privileged access management control - group functions.",2020-10-04,False,2020-11-03,Active,2020-10-04,,,Last reviewed on 2025-03-15. Control operating effectively.,2025-03-15 00:00:00
